horizonte,r²,RMSE,MAE,MAPE,Correl
h1,-0.054644492870463246,1149.400421920515,869.3146364349556,0.16189479753591743,0.5670857525144426
h2,-0.5948795892716583,1372.973057994655,1078.4841935278064,0.19554956184928846,0.3032806772921867
h3,-0.12274391699760034,1124.6670361910772,948.9859734719075,0.1775760984960453,0.3563274130669074
h4,-0.2506724516501393,1214.098821448018,995.1377771719523,0.1768468757272054,0.27198462660013256
h5,-0.22288777352159372,1219.9595846067134,986.5888746141285,0.1738438315751293,0.2441485083265069
h6,0.31871753019596005,908.3139169072416,769.8697150575175,0.13712981284959005,0.5742459978815541
h7,0.3789117472368785,868.4729519444273,730.068199453126,0.12858034466785143,0.6195763801322954
7 dias,-0.03161426419093116,630.4244732913122,527.70129122113,0.09190126674898566,0.6776802029417232
