horizonte,r²,RMSE,MAE,MAPE,Correl
h1,0.7816161519023488,400.27623780391195,315.96707259594575,0.1185689140775449,0.8934341003513107
h2,0.7358265122109311,474.6369179875035,387.8951421541148,0.14289169631592105,0.8671510861870748
h3,0.6174670651970611,619.4310792708181,452.5135145951552,0.1498249430882512,0.8016160972452477
h4,0.6478683985024182,647.9942894204974,462.3602748666623,0.14556671309377717,0.8191675254435764
h5,0.6654539603798406,649.5514304638353,477.85435369362165,0.14451616040533394,0.8345395093093965
h6,0.7024416673562015,618.5282337031059,459.5898855217038,0.13684311142771552,0.8570190972237692
h7,0.6967604046737662,619.6768377743333,466.87739175004094,0.13635369091855523,0.8497275591322675
7 dias,0.8351120347381867,386.5653870062959,278.5899556330984,0.0926810138244064,0.9248866310303657
