horizonte,r²,RMSE,MAE,MAPE,Correl
h1,-0.05151843661304256,461.02461789797337,323.3473594147685,2.893534944708914e+17,0.14745673370846912
h2,-0.030483366974975112,475.08514630865835,340.0818220467143,2.8494363262849558e+17,0.21721834651370586
h3,-0.04798515633805689,476.24252424556335,342.6583697555593,2.8567266384430214e+17,0.20399110269744272
h4,-0.03784143603981538,472.52849819956054,341.95253698657564,2.8449361712869462e+17,0.23479613210071182
h5,-0.0470946942898427,473.75341958278415,336.56278994762744,2.8602564116649536e+17,0.23382332530553526
h6,-0.04940090376578565,472.8027819840044,343.86598957438144,2.7945594721699728e+17,0.2586709846508236
h7,-0.07493570256100357,477.92219260454516,350.8135826793214,2.734233659439371e+17,0.21796745606904455
7 dias,-0.279853070346445,204.88760440341315,157.47599993623353,0.18194379712113737,0.5699076079607313
