horizonte,r²,RMSE,MAE,MAPE,Correl
h1,0.08443500386573777,691.1271757164272,319.32360001669025,3.6297238619729555e+17,0.32483344713779094
h2,0.14286584511803002,677.3802559884253,359.06280231589227,3.950051454465102e+17,0.41337561498636716
h3,0.33378599421022903,604.2409344831029,340.99521389677636,3.415079162247485e+17,0.636873969074699
h4,0.2541452243082286,687.5842311268578,375.9477548687574,3.270822076668566e+17,0.5824723786347593
h5,0.1642488784719245,756.7788187252488,427.7060341639074,3.45769409346446e+17,0.5074632818383844
h6,0.314067883301847,688.5200979853378,397.21307998447804,3.2273435947699776e+17,0.6586599276333539
h7,0.3988123630274574,647.77219960543,370.9336591213998,2.6324914246470288e+17,0.7588459064520475
7 dias,0.44723087860293564,327.39584944636596,215.61300513352805,0.3569174492726296,0.7966180473421344
