horizonte,r²,RMSE,MAE,MAPE,Correl
h1,0.508300012690558,1076.0784877359756,885.9167356274049,0.25321531133674374,0.741585116576021
h2,0.5269093838807488,1060.1668958203045,863.6834293585098,0.2518705210804558,0.7439400011925523
h3,0.5323714276857132,1019.982388241936,809.3643510965436,0.24692597967728047,0.7537885808256
h4,0.3665953770191074,1040.6316132614638,800.5453324829789,0.2513541326609064,0.6840300152567473
h5,0.7120855687843997,636.9522656675852,497.91841655251267,0.17266144732014904,0.8603538997696688
h6,0.6812714511948477,655.3117441998353,521.726746379677,0.17904655940036968,0.8498096067829215
h7,0.5822722681883514,734.6203161602774,572.1184438866451,0.19439864471592533,0.7931590700038821
7 dias,0.8979455779618304,348.7397463155228,280.2789440912469,0.07955948913827951,0.9556949357819395
