Date,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
2023-01-15,Paraguay,7305843,800163,,19746,,,,,7,109524,2703,2657506,363751
2023-01-15,Bahrain,1783983,699518,,1540,,697461,,517,2,392110,863,10658286,5974432
2023-01-15,Sri Lanka,21575842,671963,,16823,,655130,,10,,31144,780,6486117,300619
2023-01-15,Kuwait,4380326,662747,,2570,,660095,,82,,151301,587,8447300,1928464
2023-01-15,Dominican Republic,11056370,650990,,4384,,644785,,1821,4,58879,397,3740928,338350
2023-01-15,Cyprus,1223387,638062,,1270,,627239,,9553,60,521554,1038,9640118,7879860
2023-01-15,Myanmar,55227143,633741,,19490,,614219,,32,,11475,353,9876489,178834
2023-01-15,Palestine,5345541,621008,,5404,,615445,,159,17,116173,1011,3078533,575907
2023-01-15,Estonia,1321910,612829,,2885,,524990,,84954,9,463594,2182,3643453,2756204
2023-01-15,Moldova,4013171,597216,,11940,,504142,,81134,49,148814,2975,3216305,801437
2023-01-15,Venezuela,29266991,550997,,5837,,544434,,726,36,18827,199,3359014,114771
2023-01-15,Egypt,106156692,515645,,24613,,442182,,48850,122,4857,232,3693367,34792
2023-01-15,Libya,7040745,507154,,6437,,500697,,20,,72031,914,2483446,352725
2023-01-15,Ethiopia,120812698,499082,,7572,,485087,,6423,3,4131,63,5441383,45040
2023-01-15,Qatar,2979915,491400,96,685,,490338,117,377,3,164904,230,4065369,1364257
2023-01-15,Réunion,908061,483818,,917,,418572,,64329,10,532803,1010,1603660,1766027
2023-01-15,Honduras,10221247,469230,,11095,,,,,105,45907,1085,1608989,157416
2023-01-15,Armenia,2971966,445976,,8716,,435162,,2098,,150061,2933,3242901,1091164
2023-01-15,Bosnia and Herzegovina,3249317,401187,,16241,,378908,,6038,,123468,4998,1883099,579537
2023-01-15,Oman,5323993,399154,,4260,,384669,,10225,2,74973,800,25000000,4695724
2023-01-15,North Macedonia,2081304,346095,,9623,,336215,,257,,166288,4624,2210818,1062227
2023-01-15,Kenya,56215221,342700,,5688,,336827,,185,1,6096,101,3963725,70510
2023-01-15,Zambia,19470234,336955,,4035,,330907,,2013,,17306,207,3814053,195891
2023-01-15,Albania,2866374,334029,,3595,,328776,,1658,,116534,1254,1941032,677173
2023-01-15,Botswana,2441162,328230,,2795,,323747,,1688,1,134456,1145,2026898,830300
2023-01-15,Luxembourg,642371,297757,,1133,,288991,,7633,,463528,1764,4412567,6869188
2023-01-15,Montenegro,627950,285535,,2794,,282200,,541,6,454710,4449,2687734,4280172
2023-01-15,Brunei ,445431,272646,,225,,243601,,28820,3,612095,505,717784,1611437
2023-01-15,Algeria,45350148,271287,,6881,,182683,,81723,,5982,152,230861,5091
2023-01-15,Nigeria,216746934,266463,,3155,,259850,,3458,11,1229,15,5708974,26339
2023-01-15,Zimbabwe,15331428,259981,,5637,,253677,,667,12,16957,368,2525756,164744
2023-01-15,Uzbekistan,34382084,250137,,1637,,241486,,7014,23,7275,48,1377915,40077
2023-01-15,Mozambique,33089461,231219,,2232,,228801,,186,11,6988,67,1371127,41437
2023-01-15,Martinique,374087,228171,,1085,,,,,8,609941,2900,828928,2215870
2023-01-15,Laos,7481023,217927,,758,,,,,,29131,101,1233207,164845
2023-01-15,Iceland,345393,208459,,229,,,,,2,603541,663,1996384,5780036
2023-01-15,Afghanistan,40754388,207900,,7854,,185772,,14274,1124,5101,193,1181872,29000
2023-01-15,Kyrgyzstan,6728271,206586,,2991,,196406,,7189,131,30704,445,1907195,283460
2023-01-15,El Salvador,6550389,201785,,4230,,179410,,18145,8,30805,646,2610114,398467
2023-01-15,Guadeloupe,399794,200965,,1003,,,,,19,502671,2509,938039,2346306
2023-01-15,Trinidad and Tobago,1406585,186685,,4297,,182182,,206,8,132722,3055,882325,627282
2023-01-15,Maldives,540985,185702,,311,,163687,,21704,25,343266,575,2213831,4092223
2023-01-15,Ghana,32395450,171089,,1462,,169615,,12,2,5281,45,2525773,77967
2023-01-15,Namibia,2633874,170369,,4082,,166197,,90,,64684,1550,1062663,403460
2023-01-15,Uganda,48432863,170279,,3630,,100431,,66218,3,3516,75,3012408,62198
2023-01-15,Jamaica,2985094,152968,,3465,,102116,,47387,,51244,1161,1183986,396633
2023-01-15,Cambodia,17168639,138662,3,3056,,135589,3,17,,8076,178,3091420,180062
